date,sector,close,return_value,volatility,observed_days,expected_days,complete
2019-01-31,XBANK,1380.83203125,0.17281256327761163,0.4108123706829447,22,22,True
2019-02-28,XBANK,1380.633056640625,-0.00014409762003775306,0.23569295015784666,20,20,True
2019-03-31,XBANK,1272.8079833984375,-0.07809828449606215,0.5074063082640949,21,21,True
2019-04-30,XBANK,1228.4749755859375,-0.03483086874905472,0.36841474005446273,21,21,True
2019-05-31,XBANK,1179.0550537109375,-0.04022867608795089,0.3402750234487197,22,22,True
2019-06-30,XBANK,1351.66796875,0.14639936828715805,0.3480057290064726,17,17,True
2019-07-31,XBANK,1473.0450439453125,0.08979799625462759,0.37780923944916744,22,22,True
2019-08-31,XBANK,1335.572021484375,-0.09332574249918268,0.28731527775381216,18,18,True
2019-09-30,XBANK,1533.4630126953125,0.14816946448982837,0.33711157621597015,21,21,True
2019-10-31,XBANK,1359.592041015625,-0.11338452263943477,0.41931532107023695,22,22,True
2019-11-30,XBANK,1500.0059814453125,0.1032765242762066,0.1794381905572673,21,21,True
2019-12-31,XBANK,1601.68798828125,0.06778773424487494,0.15622631844148846,22,22,True
2020-01-31,XBANK,1734.781005859375,0.08309547087316638,0.3204928645781454,22,22,True
2020-02-29,XBANK,1399.2060546875,-0.19343937363761832,0.35891596225603334,20,20,True
2020-03-31,XBANK,1175.5989990234375,-0.15980995430583889,0.6805444948919965,22,22,True
2020-04-30,XBANK,1234.2669677734375,0.04990474540956158,0.3842168270601059,21,21,True
2020-05-31,XBANK,1220.8070068359375,-0.010905226574912885,0.16568616086846125,17,17,True
2020-06-30,XBANK,1334.741943359375,0.09332755782482915,0.2426067784816656,22,22,True
2020-07-31,XBANK,1152.0,-0.1369118160020033,0.26322014833149043,21,21,True
2020-08-31,XBANK,1096.300048828125,-0.04835065205891931,0.39035926305654506,20,20,True
2020-09-30,XBANK,1156.5999755859375,0.05500312329847046,0.2542304550509917,22,22,True
2020-10-31,XBANK,1134.699951171875,-0.01893483043086519,0.3361639039319773,21,21,True
2020-11-30,XBANK,1407.0,0.2399753772324602,0.5416348193492232,21,21,True
2020-12-31,XBANK,1557.800048828125,0.10717842844927139,0.24120904769700738,22,22,True
2021-01-31,XBANK,1426.800048828125,-0.0840929489625748,0.31885350319405553,19,19,True
2021-02-28,XBANK,1356.199951171875,-0.049481423633420896,0.2975121470689108,18,18,True
2021-03-31,XBANK,1076.0,-0.20660666661266125,0.5062593172058403,23,23,True
2021-04-30,XBANK,1099.699951171875,0.02202597692553443,0.2870410260677201,20,20,True
2021-05-31,XBANK,1172.199951171875,0.06592707394661756,0.23191709439744515,13,13,True
2021-06-30,XBANK,1195.5999755859375,0.019962485402485353,0.18148806511875956,22,22,True
2021-07-31,XBANK,1215.699951171875,0.01681162261322977,0.1767590622444889,16,16,True
2021-08-31,XBANK,1352.800048828125,0.11277461804953792,0.2079099417399241,21,21,True
2021-09-30,XBANK,1244.0999755859375,-0.08035191404402287,0.25508753533747464,22,22,True
2021-10-31,XBANK,1346.5999755859375,0.0823888771091128,0.20880608935175957,20,20,True
2021-11-30,XBANK,1535.5999755859375,0.14035348539031545,0.40726520570624447,22,22,True
2021-12-31,XBANK,1595.699951171875,0.039137781024648266,0.4870606462197022,23,23,True
2022-01-31,XBANK,1765.199951171875,0.10622297749368226,0.35294543730068856,21,21,True
2022-02-28,XBANK,1601.800048828125,-0.09256736169478852,0.40284528707278666,20,20,True
2022-03-31,XBANK,1739.4000244140625,0.08590334086118023,0.17891461617362953,23,23,True
2022-04-30,XBANK,2105.199951171875,0.21030235806799902,0.3801805912820828,21,21,True
2022-05-31,XBANK,2093.800048828125,-0.005415116192361791,0.2502116336559278,18,18,True
2022-06-30,XBANK,1942.4000244140625,-0.07230873095967272,0.395883024586511,22,22,True
2022-07-31,XBANK,2162.60009765625,0.11336494567261557,0.32128907043338306,18,18,True
2022-08-31,XBANK,3282.60009765625,0.5178951028504144,0.487701441626158,22,22,True
2022-09-30,XBANK,2964.699951171875,-0.0968440068929971,0.9203367401156196,22,22,True
2022-10-31,XBANK,3733.60009765625,0.25935175874389826,0.5430077296180118,21,21,True
2022-11-30,XBANK,4461.2998046875,0.19490563745379696,0.4812838228993494,22,22,True
2022-12-31,XBANK,5027.7001953125,0.12695860296810402,0.5545001883641579,21,21,True
2023-01-31,XBANK,4196.2001953125,-0.16538376746792427,0.6057797701497967,22,22,True
2023-02-28,XBANK,4349.10009765625,0.03643770440565541,0.7845312278994946,16,16,True
2023-03-31,XBANK,4488.2001953125,0.03198365053294849,0.4944213060820023,23,23,True
2023-04-30,XBANK,4159.39990234375,-0.07325882952194307,0.34811046460515943,19,19,True
2023-05-31,XBANK,4277.7998046875,0.028465621273163322,0.7719516522083676,21,21,True
2023-06-30,XBANK,5250.89990234375,0.22747677359514418,0.41590877355196243,19,19,True
2023-07-31,XBANK,6440.10009765625,0.2264755027574794,0.45679545937678406,21,21,True
2023-08-31,XBANK,7379.10009765625,0.14580518714945612,0.5104524471985528,22,22,True
2023-09-30,XBANK,8656.7998046875,0.17315115530646796,0.33840016923879934,21,21,True
2023-10-31,XBANK,7686.10009765625,-0.11213147224516318,0.4840167940082459,22,22,True
2023-11-30,XBANK,8358.099609375,0.08743049182037921,0.3121925238981474,22,22,True
2023-12-31,XBANK,8717.2001953125,0.042964382182608674,0.3954956223016086,20,20,True
2024-01-31,XBANK,9564.5,0.0971986171825121,0.4207692047849133,22,22,True
2024-02-29,XBANK,10054.099609375,0.05118925290135401,0.2386916811206756,20,20,True
2024-03-31,XBANK,10979.7998046875,0.09207191407267601,0.44435156547621035,21,21,True
2024-04-30,XBANK,13409.0,0.221242667309419,0.4472864927049296,18,18,True
2024-05-31,XBANK,15062.400390625,0.12330527187896179,0.3653759331933557,22,22,True
2024-06-30,XBANK,15129.599609375,0.0044613884246382796,0.3687980939949806,17,17,True
2024-07-31,XBANK,14593.900390625,-0.035407362559552236,0.3362731510295428,22,22,True
2024-08-31,XBANK,13716.900390625,-0.06009359914251422,0.41207401078061706,21,21,True
2024-09-30,XBANK,14399.7001953125,0.04977799541025818,0.30925065223947984,21,21,True
2024-10-31,XBANK,12055.7998046875,-0.16277424938249785,0.4092386242556244,22,22,True
2024-11-30,XBANK,14119.5,0.17117903654223743,0.41619328356441715,21,21,True
2024-12-31,XBANK,14554.7998046875,0.03082968976858247,0.3152624520542386,21,21,True
2019-01-31,XUSIN,1193.52099609375,0.1380533960636785,0.1735055318472868,22,22,True
2019-02-28,XUSIN,1232.60302734375,0.0327451560365597,0.15481877695797916,20,20,True
2019-03-31,XUSIN,1120.2220458984375,-0.091173702280687,0.23257830412284516,21,21,True
2019-04-30,XUSIN,1136.3800048828125,0.014423889481139485,0.16879418476251526,21,21,True
2019-05-31,XUSIN,1083.3759765625,-0.04664287306408432,0.2132503042704783,22,22,True
2019-06-30,XUSIN,1117.281982421875,0.03129661963426322,0.15573859502324983,17,17,True
2019-07-31,XUSIN,1161.72900390625,0.03978138212524418,0.1676207760328416,22,22,True
2019-08-31,XUSIN,1113.2149658203125,-0.041760202183824036,0.19573375289580044,18,18,True
2019-09-30,XUSIN,1197.7490234375,0.07593686773236619,0.1297721732118327,21,21,True
2019-10-31,XUSIN,1151.821044921875,-0.03834524396756611,0.21800721958773045,22,22,True
2019-11-30,XUSIN,1265.625,0.09880350387750036,0.12508667038639243,21,21,True
2019-12-31,XUSIN,1391.529052734375,0.09947974537037041,0.11649922422739685,22,22,True
2020-01-31,XUSIN,1453.552978515625,0.044572497900329244,0.19248639442945237,22,22,True
2020-02-29,XUSIN,1334.6669921875,-0.08178992309556676,0.2608105285037293,20,20,True
2020-03-31,XUSIN,1082.155029296875,-0.18919473124660224,0.5626303109559031,22,22,True
2020-04-30,XUSIN,1298.198974609375,0.19964232430992213,0.1942018119805411,21,21,True
2020-05-31,XUSIN,1337.112060546875,0.02997467006104282,0.16918832851780813,17,17,True
2020-06-30,XUSIN,1504.387939453125,0.12510236340089143,0.1060498332862875,22,22,True
2020-07-31,XUSIN,1560.0999755859375,0.03703302497430605,0.24243229362986882,21,21,True
2020-08-31,XUSIN,1552.5999755859375,-0.004807384217273114,0.3292790171283695,20,20,True
2020-09-30,XUSIN,1703.199951171875,0.09699856882266311,0.13593900057069866,22,22,True
2020-10-31,XUSIN,1729.4000244140625,0.015382852274133052,0.21031813164843746,21,21,True
2020-11-30,XUSIN,1974.9000244140625,0.1419567460010751,0.24254797461769292,21,21,True
2020-12-31,XUSIN,2340.199951171875,0.184971351583326,0.15790832524380885,22,22,True
2021-01-31,XUSIN,2477.0,0.05845656426051171,0.2932602954921379,19,19,True
2021-02-28,XUSIN,2548.699951171875,0.028946286302735214,0.19344228177925435,18,18,True
2021-03-31,XUSIN,2595.10009765625,0.018205417418021508,0.4177643749129199,23,23,True
2021-04-30,XUSIN,2605.39990234375,0.003968943123543456,0.28381006241034173,20,20,True
2021-05-31,XUSIN,2599.800048828125,-0.0021493259098488426,0.16736838725500405,13,13,True
2021-06-30,XUSIN,2414.0,-0.0714670533650753,0.12277396559183829,22,22,True
2021-07-31,XUSIN,2532.199951171875,0.04896435425512635,0.17985387745607256,16,16,True
2021-08-31,XUSIN,2563.199951171875,0.01224231916822105,0.1510051996946494,21,21,True
2021-09-30,XUSIN,2474.0,-0.034800231301148954,0.1447374128448797,22,22,True
2021-10-31,XUSIN,2749.60009765625,0.11139858433963212,0.15156477160692924,20,20,True
2021-11-30,XUSIN,3250.800048828125,0.18228103483088187,0.1852609986106925,22,22,True
2021-12-31,XUSIN,3404.199951171875,0.04718835364821916,0.5701167960479666,23,23,True
2022-01-31,XUSIN,3497.300048828125,0.027348598493517118,0.34681586176769214,21,21,True
2022-02-28,XUSIN,3497.199951171875,-2.862140933079793e-05,0.45144018494007965,20,20,True
2022-03-31,XUSIN,3927.89990234375,0.12315565514850024,0.14933071272302545,23,23,True
2022-04-30,XUSIN,4179.2001953125,0.06397828336175282,0.22637121510019745,21,21,True
2022-05-31,XUSIN,4449.7998046875,0.06474913780835667,0.23100478180603862,18,18,True
2022-06-30,XUSIN,4129.2998046875,-0.07202571218201315,0.23470839235421093,22,22,True
2022-07-31,XUSIN,4402.60009765625,0.06618562610990475,0.21241199199876665,18,18,True
2022-08-31,XUSIN,5068.5,0.15125150764845663,0.1444810999305409,22,22,True
2022-09-30,XUSIN,5178.5,0.021702673374765613,0.32578811097353966,22,22,True
2022-10-31,XUSIN,6481.2001953125,0.2515593695688907,0.2284273211255384,21,21,True
2022-11-30,XUSIN,8284.5,0.2782354734223036,0.28391550475296884,22,22,True
2022-12-31,XUSIN,8904.2998046875,0.07481438888134462,0.31286566015684547,21,21,True
2023-01-31,XUSIN,8125.2001953125,-0.08749701003607913,0.4681268448241854,22,22,True
2023-02-28,XUSIN,8805.2998046875,0.08370250492626075,0.6213173932829641,16,16,True
2023-03-31,XUSIN,7910.0,-0.10167737891342299,0.2738455009192847,23,23,True
2023-04-30,XUSIN,7488.39990234375,-0.05329963307917196,0.22895253791663633,19,19,True
2023-05-31,XUSIN,8101.2001953125,0.08183327559428988,0.4337484064681757,21,21,True
2023-06-30,XUSIN,9181.0,0.13328886814972085,0.37436438373618824,19,19,True
2023-07-31,XUSIN,11369.099609375,0.238329115496678,0.2587739937988014,21,21,True
2023-08-31,XUSIN,12798.599609375,0.1257355506693978,0.3381774189798071,22,22,True
2023-09-30,XUSIN,13614.5,0.0637491925309821,0.30084926455988925,21,21,True
2023-10-31,XUSIN,12225.7001953125,-0.10200887323717356,0.45956587075786826,22,22,True
2023-11-30,XUSIN,12827.7998046875,0.04924868103716906,0.17963990944010064,22,22,True
2023-12-31,XUSIN,11531.900390625,-0.10102273451359567,0.35022287019982046,20,20,True
2024-01-31,XUSIN,12891.900390625,0.11793372765391119,0.1978249807131165,22,22,True
2024-02-29,XUSIN,14417.400390625,0.11833011067238353,0.1792861957766994,20,20,True
2024-03-31,XUSIN,13946.099609375,-0.0326897199550944,0.22145576694315988,21,21,True
2024-04-30,XUSIN,14644.900390625,0.050107255850965204,0.27245482859387565,18,18,True
