date,strategy,cost_bps,gross_return,net_return,turnover,wealth,drawdown
2024-01-31,inverse_forecast_vol,0,0.10913213553803133,0.10913213553803125,0.9999999999999999,1.1091321355380312,0.0
2024-02-29,inverse_forecast_vol,0,0.09170612127391906,0.09170612127391897,0.04674260022413851,1.2108463416684827,0.0
2024-03-31,inverse_forecast_vol,0,0.01678366973628485,0.016783669736284867,0.02944177656440694,1.2311687867684353,0.0
2024-04-30,inverse_forecast_vol,0,0.11586520946808468,0.11586520946808476,0.08332075812450623,1.3738184161379279,0.0
2024-05-31,inverse_forecast_vol,0,0.035124680199417314,0.03512468019941739,0.009084121938453815,1.4220733486568427,0.0
2024-06-30,inverse_forecast_vol,0,0.008778013015224718,0.008778013015224628,0.23094344829343666,1.4345563270199564,0.0
2024-07-31,inverse_forecast_vol,0,-0.009591974393648044,-0.009591974393648006,0.07982328479687045,1.4207960994649351,-0.009591974393648117
2024-08-31,inverse_forecast_vol,0,-0.07249049629511735,-0.07249049629511739,0.03796409320559102,1.317801885080555,-0.08138714370451983
2024-09-30,inverse_forecast_vol,0,-4.7095556466852234e-05,-4.709555646686958e-05,0.12896386661248682,1.3177398224674641,-0.08143040628816467
2024-10-31,inverse_forecast_vol,0,-0.09716882456876666,-0.09716882456876663,0.12276636305396288,1.1896965928308454,-0.17068673399375323
2024-11-30,inverse_forecast_vol,0,0.1023148086643055,0.10231480866430553,0.08179335716198816,1.3114201720949095,-0.0858357058595538
2024-12-31,inverse_forecast_vol,0,0.024742044016243303,0.02474204401624336,0.07073883041381218,1.3438673877166711,-0.0632174126558529
2024-01-31,inverse_forecast_vol,10,0.10913213553803133,0.10802300340249316,0.9999999999999999,1.1080230034024932,0.0
2024-02-29,inverse_forecast_vol,10,0.09170612127391906,0.09165509209112987,0.04674260022413851,1.209578953818439,0.0
2024-03-31,inverse_forecast_vol,10,0.01678366973628485,0.016753733818666072,0.02944177656440694,1.2298439176433738,0.0
2024-04-30,inverse_forecast_vol,10,0.11586520946808468,0.11577223473286713,0.08332075812450623,1.3722256963615713,0.0
2024-05-31,inverse_forecast_vol,10,0.035124680199417314,0.03511527700060091,0.009084121938453815,1.4204117817966504,0.0
2024-06-30,inverse_forecast_vol,10,0.008778013015224718,0.008545042342336329,0.23094344829343666,1.4325492606156562,0.0
2024-07-31,inverse_forecast_vol,10,-0.009591974393648044,-0.009671032015541092,0.07982328479687045,1.4186950308524024,-0.009671032015541092
2024-08-31,inverse_forecast_vol,10,-0.07249049629511735,-0.07252570835236505,0.03796409320559102,1.3158031688038516,-0.08149534192048058
2024-09-30,inverse_forecast_vol,10,-4.7095556466852234e-05,-0.00017605334945436368,0.12896386661248682,1.315571517248761,-0.08165704774202498
2024-10-31,inverse_forecast_vol,10,-0.09716882456876666,-0.09727966186862602,0.12276636305396288,1.187593164886806,-0.1709931396171166
